identity,total_images,enrollment_count,validation_count,test_count
Alejandro_Toledo,39,2,18,19
Alvaro_Uribe,35,2,16,17
Amelie_Mauresmo,21,2,9,10
Andre_Agassi,36,2,17,17
Angelina_Jolie,20,2,9,9
Ariel_Sharon,77,2,37,38
Arnold_Schwarzenegger,42,2,20,20
Atal_Bihari_Vajpayee,24,2,11,11
Bill_Clinton,29,2,13,14
Carlos_Menem,21,2,9,10
Colin_Powell,236,2,117,117
David_Beckham,31,2,14,15
Donald_Rumsfeld,121,2,59,60
George_Robertson,22,2,10,10
George_W_Bush,530,2,264,264
Gerhard_Schroeder,109,2,53,54
Gloria_Macapagal_Arroyo,44,2,21,21
Gray_Davis,26,2,12,12
Hamid_Karzai,22,2,10,10
Hans_Blix,39,2,18,19
Hugo_Chavez,71,2,34,35
Igor_Ivanov,20,2,9,9
Jack_Straw,28,2,13,13
Jacques_Chirac,52,2,25,25
Jean_Chretien,55,2,26,27
Jennifer_Aniston,21,2,9,10
Jennifer_Capriati,42,2,20,20
Jennifer_Lopez,21,2,9,10
Jeremy_Greenstock,24,2,11,11
Jiang_Zemin,20,2,9,9
John_Ashcroft,53,2,25,26
John_Negroponte,31,2,14,15
Jose_Maria_Aznar,23,2,10,11
Juan_Carlos_Ferrero,28,2,13,13
Junichiro_Koizumi,60,2,29,29
Kofi_Annan,32,2,15,15
Laura_Bush,41,2,19,20
Lindsay_Davenport,22,2,10,10
Lleyton_Hewitt,41,2,19,20
Luiz_Inacio_Lula_da_Silva,48,2,23,23
Mahmoud_Abbas,29,2,13,14
Megawati_Sukarnoputri,33,2,15,16
Michael_Bloomberg,20,2,9,9
Naomi_Watts,22,2,10,10
Pete_Sampras,22,2,10,10
Recep_Tayyip_Erdogan,30,2,14,14
Ricardo_Lagos,27,2,12,13
Roh_Moo-hyun,32,2,15,15
Rudolph_Giuliani,26,2,12,12
Saddam_Hussein,23,2,10,11
Serena_Williams,52,2,25,25
Silvio_Berlusconi,33,2,15,16
Tiger_Woods,23,2,10,11
Tom_Daschle,25,2,11,12
Tom_Ridge,33,2,15,16
Tony_Blair,144,2,71,71
Vicente_Fox,32,2,15,15
Vladimir_Putin,49,2,23,24
Winona_Ryder,24,2,11,11
