pair_id,fold,identity1,image1_rel_path,image1_exists,identity2,image2_rel_path,image2_exists,is_same
1,1,Abel_Pacheco,Abel_Pacheco/Abel_Pacheco_0001.jpg,False,Abel_Pacheco,Abel_Pacheco/Abel_Pacheco_0004.jpg,False,1
2,1,Akhmed_Zakayev,Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,True,Akhmed_Zakayev,Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,True,1
3,1,Akhmed_Zakayev,Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,True,Akhmed_Zakayev,Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,True,1
4,1,Amber_Tamblyn,Amber_Tamblyn/Amber_Tamblyn_0001.jpg,False,Amber_Tamblyn,Amber_Tamblyn/Amber_Tamblyn_0002.jpg,False,1
5,1,Anders_Fogh_Rasmussen,Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,True,Anders_Fogh_Rasmussen,Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,True,1
6,1,Anders_Fogh_Rasmussen,Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,True,Anders_Fogh_Rasmussen,Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,True,1
7,1,Angela_Bassett,Angela_Bassett/Angela_Bassett_0001.jpg,True,Angela_Bassett,Angela_Bassett/Angela_Bassett_0005.jpg,True,1
8,1,Angela_Bassett,Angela_Bassett/Angela_Bassett_0002.jpg,True,Angela_Bassett,Angela_Bassett/Angela_Bassett_0005.jpg,True,1
9,1,Angela_Bassett,Angela_Bassett/Angela_Bassett_0003.jpg,True,Angela_Bassett,Angela_Bassett/Angela_Bassett_0004.jpg,True,1
10,1,Ann_Veneman,Ann_Veneman/Ann_Veneman_0003.jpg,True,Ann_Veneman,Ann_Veneman/Ann_Veneman_0005.jpg,True,1
11,1,Ann_Veneman,Ann_Veneman/Ann_Veneman_0006.jpg,True,Ann_Veneman,Ann_Veneman/Ann_Veneman_0010.jpg,True,1
12,1,Ann_Veneman,Ann_Veneman/Ann_Veneman_0010.jpg,True,Ann_Veneman,Ann_Veneman/Ann_Veneman_0011.jpg,True,1
13,1,Anthony_Fauci,Anthony_Fauci/Anthony_Fauci_0001.jpg,False,Anthony_Fauci,Anthony_Fauci/Anthony_Fauci_0002.jpg,False,1
14,1,Antony_Leung,Antony_Leung/Antony_Leung_0001.jpg,True,Antony_Leung,Antony_Leung/Antony_Leung_0002.jpg,True,1
15,1,Antony_Leung,Antony_Leung/Antony_Leung_0002.jpg,True,Antony_Leung,Antony_Leung/Antony_Leung_0003.jpg,True,1
